"";"label";"infered";"expected";"errorpercent";"Booleand_outliers"
"1";"Aapticheilichthys_websteri";0,620210982741475;1;37,9789017258525;0
"2";"Abantennarius_rosaceus";0,880030950800559;1;11,9969049199441;0
"3";"Abantennarius_sanguineus";0,880030950800559;1;11,9969049199441;0
"4";"Ablabys_binotatus";0,478801952729321;1;52,1198047270679;0
"5";"Abudefduf_lorenzi";3,53035066975022;1;-253,035066975022;0
"6";"Abudefduf_margariteus";3,53035066975022;1;-253,035066975022;0
"7";"Abudefduf_nigrimargo";3,53035066975022;1;-253,035066975022;0
"8";"Acanthoclinus_rua";-0,362040857779812;0;Inf;0
"9";"Acanthocybium_solandri";-1,76021735118014;0;Inf;0
"10";"Acanthopagrus_australis";-1,18500822246298;0;Inf;0
"11";"Acanthopagrus_berda";-1,18500822246298;0;Inf;0
"12";"Acanthopagrus_catenula";-1,18500822246298;1;218,500822246298;0
"13";"Acanthoplesiops_hiatti";-0,702930380735288;1;170,293038073529;0
"14";"Acanthopsetta_nadeshnyi";-3,62754601870009;0;Inf;0
"15";"Acanthosphex_leurynnis";-1,72330422726244;0;Inf;0
"16";"Acanthostracion_guineense";0,714783974850511;0;-Inf;0
"17";"Acanthostracion_quadricornis";0,714783974850511;1;28,5216025149489;0
"18";"Acanthurus_albipectoralis";3,26519555187075;1;-226,519555187075;0
"19";"Acanthurus_bahianus";3,26519555187075;1;-226,519555187075;0
"20";"Acanthurus_leucosternon";3,26519555187075;1;-226,519555187075;0
"21";"Acanthurus_maculiceps";3,26519555187075;1;-226,519555187075;0
"22";"Acanthurus_polyzona";3,26519555187075;1;-226,519555187075;0
"23";"Acanthurus_reversus";3,26519555187075;1;-226,519555187075;0
"24";"Acanthurus_tristis";3,26519555187075;1;-226,519555187075;0
"25";"Acentrogobius_janthinopterus";-1,60890352557808;1;260,890352557808;0
"26";"Acentrogobius_nebulosus";-1,60890352557808;1;260,890352557808;0
"27";"Acentrogobius_signatus";-1,60890352557808;0;Inf;0
"28";"Acentrophryne_longidens";-3,17711064833655;0;Inf;0
"29";"Achoerodus_viridis";1,89708104814374;1;-89,708104814374;0
"30";"Acropoma_arafurensis";-1,70921582796878;0;Inf;0
"31";"Acropoma_lecorneti";-1,70921582796878;0;Inf;0
"32";"Acroteriobatus_annulatus";-1,32783652308712;0;Inf;0
"33";"Acroteriobatus_variegatus";-1,32783652308712;0;Inf;0
"34";"Aetobatus_narutobiei";1,11589060974803;1;-11,589060974803;0
"35";"Aioliops_tetrophthalmus";1,23614888737995;1;-23,614888737995;0
"36";"Alabes_gibbosa";-1,34873649223667;0;Inf;0
"37";"Albula_argentea";0,85179704221787;0;-Inf;0
"38";"Alectrias_benjamini";-2,1012921019621;0;Inf;0
"39";"Alectrias_markevichi";-2,1012921019621;0;Inf;0
"40";"Alepocephalus_bairdii";-2,65434644923378;0;Inf;0
"41";"Alepocephalus_dentifer";-2,65434644923378;0;Inf;0
"42";"Alepocephalus_fundulus";-2,65434644923378;0;Inf;0
"43";"Alloblennius_jugularis";-0,917318750086581;0;Inf;0
"44";"Alloblennius_parvus";-0,917318750086581;0;Inf;0
"45";"Allocareproctus_unangas";-4,21263326236751;0;Inf;0
"46";"Alosa_fallax";-2,72318521538576;0;Inf;0
"47";"Altrichthys_azurelineatus";3,03470792678195;1;-203,470792678195;0
"48";"Ambassis_gymnocephalus";-2,11375668259731;0;Inf;0
"49";"Ambassis_jacksoniensis";-2,11375668259731;0;Inf;0
"50";"Ambassis_nalua";-2,11375668259731;0;Inf;0
"51";"Ambassis_urotaenia";-2,11375668259731;0;Inf;0
"52";"Amblychaeturichthys_hexanema";-0,989427904325281;0;Inf;0
"53";"Amblycirrhitus_earnshawi";1,6513249638501;0;-Inf;1
"54";"Amblycirrhitus_oxyrhynchos";1,6513249638501;0;-Inf;1
"55";"Amblyeleotris_arcupinna";0,0301091013538465;0;-Inf;0
"56";"Amblyeleotris_bellicauda";0,0301091013538465;0;-Inf;0
"57";"Amblyeleotris_callopareia";0,0301091013538465;0;-Inf;0
"58";"Amblyeleotris_delicatulus";0,0301091013538465;0;-Inf;0
"59";"Amblyeleotris_neumanni";0,0301091013538465;0;-Inf;0
"60";"Amblyeleotris_rubrimarginata";0,0301091013538465;0;-Inf;0
"61";"Amblyeleotris_triguttata";0,0301091013538465;0;-Inf;0
"62";"Amblygaster_clupeoides";-1,68435112399022;1;268,435112399022;0
"63";"Amblyglyphidodon_curacao";2,60891844800253;1;-160,891844800253;0
"64";"Amblygobius_bynoensis";0,901017561310455;0;-Inf;0
"65";"Amblygobius_cheraphilus";0,901017561310455;1;9,8982438689545;0
"66";"Amblygobius_sewardii";0,901017561310455;1;9,8982438689545;0
"67";"Amblygobius_tekomaji";0,901017561310455;0;-Inf;0
"68";"Ammodytoides_kimurai";-0,555071641473677;0;Inf;0
"69";"Ammodytoides_renniei";-0,555071641473677;1;155,507164147368;0
"70";"Amphelikturus_dendriticus";-0,465800365847223;0;Inf;0
"71";"Amphiarius_rugispinis";-2,16258614620199;0;Inf;0
"72";"Amphiprion_omanensis";3,67206919669038;1;-267,206919669038;0
"73";"Anarchias_longicauda";0,345893946214807;0;-Inf;0
"74";"Anarhichas_denticulatus";-2,03288577522656;1;303,288577522656;1
"75";"Anchoa_chamensis";-3,71846369948875;0;Inf;0
"76";"Anchoa_lyolepis";-3,71846369948875;1;471,846369948875;1
"77";"Anchoa_starksi";-3,71846369948875;0;Inf;0
"78";"Anchoviella_brevirostris";-3,23410476605855;0;Inf;0
"79";"Anguilla_australis";-2,25732108237629;1;325,732108237629;1
"80";"Anguilla_labiata";-2,25732108237629;0;Inf;0
"81";"Anodontostoma_chacunda";-2,43955015365741;0;Inf;0
"82";"Antennarius_commerson";1,19485861965712;1;-19,485861965712;0
"83";"Antennarius_pauciradiatus";1,19485861965712;1;-19,485861965712;0
"84";"Anthias_nicholsi";0,641169336038587;1;35,8830663961413;0
"85";"Aphanopus_capricornis";1,87454463590294;1;-87,454463590294;0
"86";"Apletodon_barbatus";-1,81647554481059;0;Inf;0
"87";"Apletodon_gabonensis";-1,81647554481059;1;281,647554481059;0
"88";"Apletodon_wirtzi";-1,81647554481059;0;Inf;0
"89";"Aplodactylus_etheridgii";0,197764907510769;1;80,2235092489231;0
"90";"Apogon_ceramensis";1,15559232932499;1;-15,559232932499;0
"91";"Apogonichthyoides_atripes";0,968765874806955;0;-Inf;0
"92";"Apogonichthyoides_chrysurus";0,968765874806955;1;3,1234125193045;0
"93";"Apogonichthyoides_maculipinnis";0,968765874806955;1;3,1234125193045;0
"94";"Apogonichthyoides_regani";0,968765874806955;0;-Inf;0
"95";"Apogon_maculatus";1,15559232932499;1;-15,559232932499;0
"96";"Apogon_mosavi";1,15559232932499;1;-15,559232932499;0
"97";"Apogon_nitidus";1,15559232932499;1;-15,559232932499;0
"98";"Apopterygion_alta";-0,488875301249006;1;148,887530124901;0
"99";"Apristurus_indicus";-3,64397823885207;0;Inf;0
"100";"Apristurus_kampae";-3,64397823885207;0;Inf;0
"101";"Apristurus_macrorhynchus";-3,64397823885207;0;Inf;0
"102";"Apristurus_micropterygeus";-3,64397823885207;0;Inf;0
"103";"Apristurus_profundorum";-3,64397823885207;0;Inf;0
"104";"Apristurus_sibogae";-3,64397823885207;0;Inf;0
"105";"Apterichtus_australis";-0,590683838378549;1;159,068383837855;0
"106";"Apterichtus_gracilis";-0,590683838378549;0;Inf;0
"107";"Apterichtus_soyoae";-0,590683838378549;0;Inf;0
"108";"Argentina_georgei";-1,9295083053755;0;Inf;0
"109";"Argentina_sialis";-1,9295083053755;0;Inf;0
"110";"Argentina_striata";-1,9295083053755;0;Inf;0
"111";"Argentinolycus_elongatus";-2,81628322304699;0;Inf;0
"112";"Argyripnus_pharos";-0,389336596468935;0;Inf;0
"113";"Argyrosomus_heinii";0,700675115988623;1;29,9324884011377;0
"114";"Argyrosomus_hololepidotus";0,700675115988623;0;-Inf;0
"115";"Argyrosomus_thorpei";0,700675115988623;0;-Inf;0
"116";"Ariomma_bondi";-0,70973829972983;0;Inf;0
"117";"Ariopsis_felis";-2,34439103942394;1;334,439103942394;1
"118";"Ariopsis_guatemalensis";-2,34439103942394;0;Inf;0
"119";"Ariosoma_bauchotae";-1,11330317488133;0;Inf;0
"120";"Ariosoma_howensis";-1,11330317488133;1;211,330317488133;0
"121";"Ariosoma_majus";-1,11330317488133;0;Inf;0
"122";"Ariosoma_multivertebratum";-1,11330317488133;1;211,330317488133;0
"123";"Aristostomias_lunifer";-4,38321949522093;0;Inf;0
"124";"Arius_oetik";-1,90735586843306;0;Inf;0
"125";"Arnoglossus_aspilos";-3,9082095644011;0;Inf;0
"126";"Arothron_carduus";0,121422046570516;0;-Inf;0
"127";"Arothron_mappa";0,121422046570516;1;87,8577953429484;0
"128";"Arothron_meleagris";0,121422046570516;1;87,8577953429484;0
"129";"Arothron_stellatus";0,121422046570516;1;87,8577953429484;0
"130";"Aseraggodes_crypticus";-0,824536069215109;1;182,453606921511;0
"131";"Aseraggodes_herrei";-0,824536069215109;0;Inf;0
"132";"Aspasmichthys_alorensis";-1,41571262981867;1;241,571262981867;0
"133";"Aspasmodes_briggsi";-1,20916926531166;0;Inf;0
"134";"Aspasmogaster_liorhynchus";-1,70577891900995;1;270,577891900995;0
"135";"Asquamiceps_hjorti";-2,64702054100111;0;Inf;0
"136";"Asquamiceps_velaris";-2,64702054100111;0;Inf;0
"137";"Asterropteryx_bipunctata";0,416350990711974;1;58,3649009288026;0
"138";"Astrabe_fasciata";-0,988815120329589;0;Inf;0
"139";"Astrabe_flavimaculata";-0,988815120329589;0;Inf;0
"140";"Astronesthes_chrysophekadion";-3,96781041238955;0;Inf;0
"141";"Astronesthes_galapagensis";-3,96781041238955;0;Inf;0
"142";"Astronesthes_gudrunae";-3,96781041238955;0;Inf;0
"143";"Astronesthes_ijimai";-3,96781041238955;0;Inf;0
"144";"Astronesthes_indopacificus";-3,96781041238955;0;Inf;0
"145";"Astronesthes_oligoa";-3,96781041238955;0;Inf;0
"146";"Astronesthes_richardsoni";-3,96781041238955;0;Inf;0
"147";"Astronesthes_tatyanae";-3,96781041238955;0;Inf;0
"148";"Asymbolus_occiduus";-1,61560365428118;0;Inf;0
"149";"Asymbolus_pallidus";-1,61560365428118;0;Inf;0
"150";"Asymbolus_vincenti";-1,61560365428118;1;261,560365428118;0
"151";"Ateleopus_japonicus";-0,655134121772301;0;Inf;0
"152";"Atelomycterus_fasciatus";0,261580450544424;0;-Inf;0
"153";"Atherina_presbyter";-1,84959715423535;0;Inf;0
"154";"Atherinella_pallida";-0,691361443243122;1;169,136144324312;0
"155";"Atherinosoma_microstoma";-1,43302259309039;0;Inf;0
"156";"Atractodenchelys_robinsorum";-1,37025634253212;1;237,025634253212;0
"157";"Atractoscion_microlepis";-0,137528414839081;0;Inf;0
"158";"Atrobucca_kyushini";0,222983824513268;1;77,7016175486732;0
"159";"Atrobucca_nibe";0,222983824513268;0;-Inf;0
"160";"Atypichthys_latus";1,48244591324185;1;-48,244591324185;0
"161";"Aulacocephalus_temminckii";0,0129239823204212;1;98,7076017679579;0
"162";"Aulopus_filamentosus";-2,18409490124535;0;Inf;0
"163";"Aulotrachichthys_sajademalensis";-1,4642119686363;0;Inf;0
"164";"Aurigequula_fasciata";-1,4360536652461;0;Inf;0
"165";"Austrolabrus_maculatus";1,73006246253065;1;-73,006246253065;0
"166";"Azurina_brevirostris";3,30280713516069;1;-230,280713516069;0
"167";"Azygopterus_corallinus";-1,10537256597398;0;Inf;0
"168";"Azygopus_pinnifasciatus";-3,50334645103267;0;Inf;0
"169";"Bagre_panamensis";-2,37167378693625;0;Inf;0
"170";"Bahaba_chaptis";-0,225126548883701;1;122,51265488837;0
"171";"Bairdiella_armata";-0,501893720561259;1;150,189372056126;0
"172";"Barathrodemus_nasutus";-0,716312020698004;1;171,6312020698;0
"173";"Barathronus_pacificus";-2,01094237921152;0;Inf;0
"174";"Bascanichthys_bascanoides";-2,03515135754792;0;Inf;0
"175";"Bascanichthys_fijiensis";-2,03515135754792;0;Inf;0
"176";"Bascanichthys_ryukyuensis";-2,03515135754792;0;Inf;0
"177";"Bassozetus_glutinosus";-2,34814876556401;0;Inf;0
"178";"Bassozetus_levistomatus";-2,34814876556401;0;Inf;0
"179";"Bassozetus_multispinis";-2,34814876556401;0;Inf;0
"180";"Bathycongrus_aequoreus";-1,50430708533366;0;Inf;0
"181";"Bathycongrus_bertini";-1,50430708533366;0;Inf;0
"182";"Bathycongrus_parapolyporus";-1,50430708533366;1;250,430708533366;0
"183";"Bathygadus_cottoides";-0,641399814991559;0;Inf;0
"184";"Bathygadus_dubiosus";-0,641399814991559;1;164,139981499156;0
"185";"Bathygobius_curacao";-0,337017720548094;0;Inf;0
"186";"Bathygobius_panayensis";-0,337017720548094;0;Inf;0
"187";"Bathygobius_petrophilus";-0,337017720548094;0;Inf;0
"188";"Bathylagichthys_longipinnis";-3,10558567457572;0;Inf;0
"189";"Bathylagoides_nigrigenys";-2,96694558804246;0;Inf;0
"190";"Bathylagus_pacificus";-3,14450717972429;0;Inf;0
"191";"Bathylutichthys_balushkini";-2,99306645540208;0;Inf;0
"192";"Bathymicrops_belyaninae";-3,56439769988568;0;Inf;0
"193";"Bathypterois_dubius";-3,94650030794919;0;Inf;0
"194";"Bathyraja_andriashevi";-3,1685877092323;0;Inf;0
"195";"Bathyraja_irrasa";-3,1685877092323;0;Inf;0
"196";"Bathyraja_kincaidii";-3,1685877092323;0;Inf;0
"197";"Bathyraja_leucomelanos";-3,1685877092323;0;Inf;0
"198";"Bathyraja_multispinis";-3,1685877092323;0;Inf;0
"199";"Bathyraja_tunae";-3,1685877092323;0;Inf;0
"200";"Bathyraja_violacea";-3,1685877092323;0;Inf;0
"201";"Bathytroctes_microlepis";-3,03464050423668;0;Inf;0
"202";"Batrachoides_boulengeri";-2,23945865904095;0;Inf;0
"203";"Batrachoides_manglae";-2,23945865904095;0;Inf;0
"204";"Bellator_egretta";-3,00300611337427;0;Inf;0
"205";"Belonoperca_pylei";0,399995361948578;0;-Inf;0
"206";"Bembras_japonica";-2,54395387950781;0;Inf;0
"207";"Benthobatis_yangi";-1,78768208799417;0;Inf;0
"208";"Benthosema_fibulatum";-2,60069751299934;0;Inf;0
"209";"Bleekeria_murtii";1,14192710838177;1;-14,192710838177;0
"210";"Blenniella_caudolineata";1,05446578199603;1;-5,44657819960299;0
"211";"Blennophis_striatus";-0,848910197240903;0;Inf;0
"212";"Bodianus_busellatus";2,65384467550334;1;-165,384467550334;0
"213";"Bodianus_tanyokidus";2,65384467550334;1;-165,384467550334;0
"214";"Bolbometopon_muricatum";2,30197270943687;1;-130,197270943687;0
"215";"Bolinichthys_nikolayi";-3,64229785479574;0;Inf;0
"216";"Bollmannia_ocellata";-1,55247615145768;0;Inf;0
"217";"Bothus_swio";-1,70407527157186;0;Inf;0
"218";"Brachiopsilus_ziebelli";-3,09790715188237;0;Inf;0
"219";"Brachirus_fitzroiensis";-3,07599253172243;0;Inf;0
"220";"Brachydeuterus_auritus";-0,0586791195308017;1;105,86791195308;0
"221";"Brachypterois_curvispina";-1,12055509098152;0;Inf;0
"222";"Brachysomophis_porphyreus";-0,445746519778353;0;Inf;0
"223";"Brama_australis";-1,29298988085718;0;Inf;0
"224";"Brama_brama";-1,29298988085718;0;Inf;0
"225";"Bregmaceros_japonicus";-2,17204602169032;0;Inf;0
"226";"Brevitrygon_heterura";-1,26170689414329;0;Inf;0
"227";"Brevitrygon_imbricata";-1,26170689414329;0;Inf;0
"228";"Briggsia_hastingsi";-1,20916926531166;1;220,916926531166;0
"229";"Brochiraja_heuresa";-3,37605357779845;0;Inf;0
"230";"Brockius_nigricinctus";-0,0567329425174562;1;105,673294251746;0
"231";"Brosmophycis_marginata";-0,836868636669518;0;Inf;0
"232";"Brotula_ordwayi";0,463720335762956;1;53,6279664237044;0
"233";"Brotulotaenia_brevicauda";-1,81643025699137;0;Inf;0
"234";"Bryaninops_dianneae";0,522169622131098;0;-Inf;0
"235";"Bryaninops_discus";0,522169622131098;1;47,7830377868902;0
"236";"Buenia_lombartei";-1,35654552851234;0;Inf;0
"237";"Bythites_fuscus";-0,577712115378323;1;157,771211537832;0
"238";"Cabillus_atripelvicus";0,429940646789152;1;57,0059353210848;0
"239";"Cabillus_macrophthalmus";0,429940646789152;0;-Inf;0
"240";"Cabillus_tongarevae";0,429940646789152;1;57,0059353210848;0
"241";"Caesio_cuning";2,00552197625834;1;-100,552197625834;0
"242";"Caesio_suevica";2,00552197625834;1;-100,552197625834;0
"243";"Caesio_xanthalytos";2,00552197625834;0;-Inf;1
"244";"Caffrogobius_agulhensis";-1,60693255602396;0;Inf;0
"245";"Caffrogobius_natalensis";-1,60693255602396;0;Inf;0
"246";"Calamus_calamus";0,372423341547707;1;62,7576658452293;0
"247";"Calamus_campechanus";0,372423341547707;0;-Inf;0
"248";"Callanthias_legras";-0,106294300406316;0;Inf;0
"249";"Callechelys_guineensis";-1,57037339065881;0;Inf;0
"250";"Callionymus_acutirostris";-2,49933971436819;0;Inf;0
"251";"Callionymus_bairdi";-2,49933971436819;1;349,933971436819;1
"252";"Callionymus_hainanensis";-2,49933971436819;0;Inf;0
"253";"Callionymus_hildae";-2,49933971436819;0;Inf;0
"254";"Callionymus_izuensis";-2,49933971436819;0;Inf;0
"255";"Callionymus_meridionalis";-2,49933971436819;0;Inf;0
"256";"Callionymus_moretonensis";-2,49933971436819;0;Inf;0
"257";"Callionymus_neptunius";-2,49933971436819;0;Inf;0
"258";"Callionymus_superbus";-2,49933971436819;0;Inf;0
"259";"Callogobius_albipunctatus";0,292731194012614;0;-Inf;0
"260";"Callogobius_amikami";0,292731194012614;0;-Inf;0
"261";"Callogobius_plumatus";0,292731194012614;1;70,7268805987386;0
"262";"Campichthys_galei";-1,00594002755308;0;Inf;0
"263";"Campichthys_tricarinatus";-1,00594002755308;1;200,594002755308;0
"264";"Canthidermis_maculata";1,73177027413743;1;-73,177027413743;0
"265";"Canthidermis_rotundatus";1,73177027413743;0;-Inf;1
"266";"Canthigaster_axiologus";1,43281514622129;1;-43,281514622129;0
"267";"Canthigaster_coronata";1,43281514622129;1;-43,281514622129;0
"268";"Canthigaster_investigatoris";1,43281514622129;0;-Inf;1
"269";"Canthigaster_natalensis";1,43281514622129;0;-Inf;1
"270";"Canthigaster_papua";1,43281514622129;1;-43,281514622129;0
"271";"Canthigaster_petersii";1,43281514622129;1;-43,281514622129;0
"272";"Canthigaster_valentini";1,43281514622129;1;-43,281514622129;0
"273";"Caranx_ignobilis";1,06672969748607;1;-6,672969748607;0
"274";"Caranx_latus";1,06672969748607;1;-6,672969748607;0
"275";"Carcharhinus_amblyrhynchoides";0,448743795776628;0;-Inf;0
"276";"Carcharhinus_isodon";0,448743795776628;0;-Inf;0
"277";"Carcharhinus_signatus";0,448743795776628;1;55,1256204223372;0
"278";"Careproctus_kamikawai";-5,04336355559769;1;604,336355559769;1
"279";"Careproctus_karaensis";-5,04336355559769;0;Inf;0
"280";"Careproctus_kidoi";-5,04336355559769;0;Inf;0
"281";"Careproctus_lacrima";-5,04336355559769;0;Inf;0
"282";"Careproctus_longipinnis";-5,04336355559769;0;Inf;0
"283";"Careproctus_paxtoni";-5,04336355559769;0;Inf;0
"284";"Careproctus_phasma";-5,04336355559769;0;Inf;0
"285";"Careproctus_steini";-5,04336355559769;0;Inf;0
"286";"Careproctus_stigmatogenus";-5,04336355559769;0;Inf;0
"287";"Careproctus_tapirus";-5,04336355559769;0;Inf;0
"288";"Careproctus_tricapitidens";-5,04336355559769;0;Inf;0
"289";"Careproctus_uter";-5,04336355559769;0;Inf;0
"290";"Caristius_digitus";-0,556168966725995;1;155,616896672599;0
"291";"Caristius_fasciatus";-0,556168966725995;0;Inf;0
"292";"Carlarius_heudelotii";-2,27133115755833;0;Inf;0
"293";"Cataetyx_alleni";-1,60258122861565;0;Inf;0
"294";"Caulolatilus_dooleyi";-1,77921111621216;0;Inf;0
"295";"Centriscus_scutatus";-0,0953782483273929;1;109,537824832739;0
"296";"Centroberyx_spinosus";0,208815257104667;1;79,1184742895333;0
"297";"Centrodraco_lineatus";-2,21211707934313;0;Inf;0
"298";"Centrogenys_vaigiensis";-0,251101616304844;1;125,110161630484;0
"299";"Centropogon_marmoratus";-0,038388077956172;1;103,838807795617;0
"300";"Centropomus_medius";-0,780380803732064;0;Inf;0
"301";"Centropristis_fuscula";-0,0804759211515188;1;108,047592115152;0
"302";"Centropyge_ferrugata";3,21194073419713;1;-221,194073419713;0
"303";"Centropyge_flavipectoralis";3,21194073419713;1;-221,194073419713;0
"304";"Centropyge_flavissima";3,21194073419713;1;-221,194073419713;0
"305";"Centropyge_narcosis";3,21194073419713;0;-Inf;1
"306";"Centropyge_nigriocellus";3,21194073419713;1;-221,194073419713;0
"307";"Centropyge_tibicen";3,21194073419713;1;-221,194073419713;0
"308";"Centroscyllium_kamoharai";-2,22090287388565;0;Inf;0
"309";"Cephalopholis_hemistiktos";1,47147998833447;1;-47,147998833447;0
"310";"Cephalopholis_nigripinnis";1,47147998833447;1;-47,147998833447;0
"311";"Cephalopholis_panamensis";1,47147998833447;1;-47,147998833447;0
"312";"Cephalopholis_sexmaculata";1,47147998833447;1;-47,147998833447;0
"313";"Cephaloscyllium_laticeps";-0,135758735838594;0;Inf;0
"314";"Ceratias_holboelli";-2,75727922352767;0;Inf;0
"315";"Cercamia_cladara";1,74171336026925;1;-74,171336026925;0
"316";"Cercamia_melanogaster";1,74171336026925;1;-74,171336026925;0
"317";"Cerdale_paludicola";-0,21777398417295;0;Inf;0
"318";"Chaetodon_fremblii";4,11710785737261;1;-311,710785737261;0
"319";"Chaetodon_larvatus";4,11710785737261;1;-311,710785737261;0
"320";"Chaetodon_mitratus";4,11710785737261;1;-311,710785737261;0
"321";"Chaetodon_octofasciatus";4,11710785737261;1;-311,710785737261;0
"322";"Chaetodon_rafflesii";4,11710785737261;1;-311,710785737261;0
"323";"Chaetodon_robustus";4,11710785737261;1;-311,710785737261;0
"324";"Chaetodontoplus_cephalareticulatus";3,54864235398578;1;-254,864235398578;0
"325";"Champsodon_atridorsalis";-2,19412735768151;0;Inf;0
"326";"Channomuraena_bauchotae";0,529805284072951;0;-Inf;0
"327";"Chasmodes_saburrae";-0,706374370735382;0;Inf;0
"328";"Chauliodus_barbatus";-4,40547155752306;0;Inf;0
"329";"Chaunacops_spinosus";-2,63712287276472;0;Inf;0
"330";"Chaunax_abei";-2,171239523768;0;Inf;0
"331";"Chaunax_mulleus";-2,171239523768;0;Inf;0
"332";"Chaunax_viridiretis";-2,171239523768;0;Inf;0
"333";"Cheilodipterus_arabicus";1,80191907579393;1;-80,191907579393;0
"334";"Cheilodipterus_quinquelineatus";1,80191907579393;1;-80,191907579393;0
"335";"Cheilopogon_melanurus";-4,07419413424919;0;Inf;0
"336";"Cheilopogon_rapanouiensis";-4,07419413424919;0;Inf;0
"337";"Cheilopogon_suttoni";-4,07419413424919;0;Inf;0
"338";"Chelidoperca_flavolineata";-0,891101538940339;0;Inf;0
"339";"Chelidoperca_investigatoris";-0,891101538940339;0;Inf;0
"340";"Chelidoperca_lecromi";-0,891101538940339;0;Inf;0
"341";"Chelon_bispinosus";-2,20666814437396;0;Inf;0
"342";"Chelonodontops_patoca";-1,78312548700591;1;278,312548700591;0
"343";"Cheroscorpaena_tridactyla";-1,62575912119792;0;Inf;0
"344";"Chiloscyllium_griseum";-0,0625537757999577;1;106,255377579996;0
"345";"Chirodactylus_grandis";0,262254548272395;0;-Inf;0
"346";"Chirodactylus_jessicalenorum";0,262254548272395;1;73,7745451727605;0
"347";"Chirolophis_wui";-1,24300717723383;0;Inf;0
"348";"Chirophryne_xenolophus";-3,71903301159676;0;Inf;0
"349";"Chlidichthys_johnvoelckeri";2,30080220948122;1;-130,080220948122;0
"350";"Chlidichthys_rubiceps";2,30080220948122;0;-Inf;1
"351";"Chlorophthalmus_corniger";-3,67048305780537;0;Inf;0
"352";"Chlorophthalmus_zvezdae";-3,67048305780537;0;Inf;0
"353";"Choerodon_graphicus";0,575283111927175;1;42,4716888072825;0
"354";"Choerodon_jordani";0,575283111927175;1;42,4716888072825;0
"355";"Choerodon_margaritiferus";0,575283111927175;0;-Inf;0
"356";"Choerodon_paynei";0,575283111927175;1;42,4716888072825;0
"357";"Chriolepis_benthonis";-0,970413832795823;0;Inf;0
"358";"Chriolepis_bilix";-0,970413832795823;1;197,041383279582;0
"359";"Chriolepis_lepidota";-0,970413832795823;0;Inf;0
"360";"Chriolepis_minutilla";-0,970413832795823;0;Inf;0
"361";"Chriolepis_roosevelti";-0,970413832795823;1;197,041383279582;0
"362";"Chromis_hangganan";2,94839713104461;1;-194,839713104461;0
"363";"Chromis_mirationis";2,94839713104461;1;-194,839713104461;0
"364";"Chromis_notata";2,94839713104461;1;-194,839713104461;0
"365";"Cirrhigaleus_asper";-1,92214959071962;0;Inf;0
"366";"Cirrhilabrus_beauperryi";2,23174520546892;1;-123,174520546892;0
"367";"Cirrhilabrus_brunneus";2,23174520546892;1;-123,174520546892;0
"368";"Cirrhilabrus_cenderawasih";2,23174520546892;1;-123,174520546892;0
"369";"Cirrhilabrus_condei";2,23174520546892;1;-123,174520546892;0
"370";"Cirrhilabrus_cyanopleura";2,23174520546892;1;-123,174520546892;0
"371";"Cirrhilabrus_marinda";2,23174520546892;1;-123,174520546892;0
"372";"Cirrhilabrus_rubrisquamis";2,23174520546892;1;-123,174520546892;0
"373";"Cirrhilabrus_shutmani";2,23174520546892;1;-123,174520546892;0
"374";"Cirrhimuraena_inhacae";-2,12125126526883;0;Inf;0
"375";"Cirrhitops_fasciatus";0,78389973023758;1;21,610026976242;0
"376";"Cirriemblemaria_lucasana";0,671407566154525;1;32,8592433845475;0
"377";"Cirripectes_filamentosus";1,32065704322352;1;-32,065704322352;0
"378";"Cirripectes_obscurus";1,32065704322352;1;-32,065704322352;0
"379";"Cirripectes_randalli";1,32065704322352;0;-Inf;1
"380";"Citharichthys_platophrys";-2,30704170735358;0;Inf;0
"381";"Citharichthys_xanthostigma";-2,30704170735358;0;Inf;0
"382";"Clariger_exilis";-1,60660821537497;0;Inf;0
"383";"Clinoporus_biporosus";-0,549643043149447;0;Inf;0
"384";"Clinus_woodi";-2,37914378991882;0;Inf;0
"385";"Clupanodon_thrissa";-2,25620451262338;0;Inf;0
"386";"Clupeonella_engrauliformis";-3,15113967294505;0;Inf;0
"387";"Coccorella_atrata";-3,02851500670073;0;Inf;0
"388";"Cocotropus_masudai";-0,972173559360054;0;Inf;0
"389";"Coelorinchus_argus";-0,384217559178523;1;138,421755917852;0
"390";"Coelorinchus_biclinozonalis";-0,384217559178523;1;138,421755917852;0
"391";"Coelorinchus_caudani";-0,384217559178523;0;Inf;0
"392";"Coelorinchus_celaenostomus";-0,384217559178523;0;Inf;0
"393";"Coelorinchus_fuscigulus";-0,384217559178523;0;Inf;0
"394";"Coelorinchus_gormani";-0,384217559178523;0;Inf;0
"395";"Coelorinchus_infuscus";-0,384217559178523;0;Inf;0
"396";"Coelorinchus_karrerae";-0,384217559178523;0;Inf;0
"397";"Coelorinchus_kermadecus";-0,384217559178523;1;138,421755917852;0
"398";"Coelorinchus_lasti";-0,384217559178523;1;138,421755917852;0
"399";"Coelorinchus_mystax";-0,384217559178523;0;Inf;0
"400";"Coelorinchus_occa";-0,384217559178523;0;Inf;0
"401";"Coelorinchus_tokiensis";-0,384217559178523;1;138,421755917852;0
"402";"Cololabis_adoceta";-2,40947781214523;0;Inf;0
"403";"Colurodontis_paxmani";0,449835137686269;0;-Inf;0
"404";"Congiopodus_kieneri";-2,79244819562957;0;Inf;0
